,Cities,Latitude,Longitude,Humidity,Max Temperature,Cloudiness,Wind Speed,Country Code,Date
357,Birin,26.8865,88.0718,76,39.96,0,3.6,NP,1612053740
358,Sistranda,63.7256,8.834,100,24.8,20,5.75,NO,1612053741
359,San Miguel de Tucumán,-26.8241,-65.2226,94,71.6,90,4.61,AR,1612053547
360,Carutapera,-1.195,-46.02,83,78.49,100,7.14,BR,1612053743
361,Benguela,-12.5763,13.4055,75,76.68,100,2.73,AO,1612053745
362,Eleousa,39.7064,20.7925,100,35.6,100,3.44,GR,1612053746
363,Balkanabat,39.5108,54.3671,71,46.4,40,3.87,TM,1612053747
364,Sokoni,-6.4333,39.55,80,80.62,74,13.35,TZ,1612053748
365,La Palma del Condado,37.3861,-6.5523,89,54.0,100,3.0,ES,1612053749
366,Esim,4.8699,-2.2405,89,78.93,72,6.46,GH,1612053451
367,Vega de Alatorre,20.0333,-96.6333,83,73.44,99,10.69,MX,1612053751
368,Zyryanka,65.75,150.85,83,-29.97,100,15.08,RU,1612053753
369,Road Town,18.4167,-64.6167,83,77.0,40,10.36,VG,1612053754
370,Tura,25.5198,90.2201,49,50.05,0,3.11,IN,1612053755
371,Opuwo,-18.0607,13.84,50,71.22,100,2.95,NA,1612053473
372,Puerto Escondido,15.85,-97.0667,74,82.4,40,8.05,MX,1612053550
373,São João da Barra,-21.6403,-41.0511,78,77.97,1,21.68,BR,1612053716
374,Mezhdurechensk,53.6942,88.0603,88,-6.09,38,2.1,RU,1612053760
375,Yulara,-25.2406,130.9889,23,87.8,76,18.41,AU,1612053761
376,Colón,9.3592,-79.9014,75,79.0,85,15.01,PA,1612053762
377,Fairbanks,64.8378,-147.7164,77,-2.99,90,1.07,US,1612053507
378,Saint-Augustin,51.226,-58.6502,92,28.81,100,16.96,CA,1612053765
379,Mahon,39.8885,4.2658,93,48.2,20,3.44,ES,1612053766
380,Kismayo,-0.3582,42.5454,85,74.91,0,13.29,SO,1612053767
381,Chiampo,45.5459,11.2796,76,44.01,100,15.99,IT,1612053768
382,Vila Velha,-20.3297,-40.2925,78,78.8,20,10.36,BR,1612053770
383,‘Ewa Beach,21.3156,-158.0072,54,80.6,75,6.91,US,1612053771
384,Waddān,29.1614,16.139,37,57.07,0,5.5,LY,1612053772
385,Bucerías,20.75,-105.3333,78,73.4,1,11.5,MX,1612053773
386,Rianxo,42.6498,-8.8176,86,55.99,100,1.99,ES,1612053774
387,Acatlán,20.15,-98.45,66,58.78,63,3.13,MX,1612053775
388,Vestmanna,62.1564,-7.1664,74,32.0,75,23.02,FO,1612053778
389,‘Āhuimanu,21.4447,-157.8378,65,80.6,75,13.8,US,1612053779
390,Kimbe,-5.5502,150.1429,85,80.26,100,8.19,PG,1612053780
391,La Asuncion,11.0333,-63.8628,85,76.82,65,12.26,VE,1612053781
392,Gijón,43.5357,-5.6615,88,54.0,100,5.99,ES,1612053549
393,Bilokurakyne,49.5341,38.7307,83,36.37,100,16.64,UA,1612053785
394,Kandrian,-6.2167,149.55,66,87.17,98,17.45,PG,1612053786
395,Batagay,67.6333,134.6333,76,-47.88,71,1.21,RU,1612053787
396,Mount Isa,-20.7333,139.5,28,95.0,79,5.75,AU,1612053788
397,Plettenberg Bay,-34.0527,23.3716,76,64.98,0,4.9,ZA,1612053789
398,Erzin,36.9559,36.2,97,53.01,100,5.68,TR,1612053790
399,Ust'-Kut,56.7938,105.7672,76,-41.66,92,2.73,RU,1612053791
400,Pacific Grove,36.6177,-121.9166,62,57.2,90,8.05,US,1612053793
401,Bairiki Village,1.3292,172.9752,70,84.2,40,11.5,KI,1612053795
402,Ozinki,51.1786,49.6769,95,18.79,34,10.6,RU,1612053796
403,Yangi Marg`ilon,40.4272,71.7189,47,33.8,100,4.61,UZ,1612053797
404,Lavrentiya,65.5833,-171.0,84,-16.06,0,5.68,RU,1612053603
405,Mineros,-17.1167,-63.2333,82,77.25,100,7.63,BO,1612053799
406,Roald,62.5833,6.1333,93,33.8,90,8.05,NO,1612053800
407,Byron Bay,-28.65,153.6167,69,80.6,75,10.36,AU,1612053801
408,Oistins,13.0667,-59.5333,73,78.8,40,17.27,BB,1612053802
409,Regen,48.9667,13.1333,90,30.0,100,1.99,DE,1612053803
410,Bilibino,68.0546,166.4372,79,-26.52,0,5.53,RU,1612053804
411,Faanui,-16.4833,-151.75,71,81.79,90,9.69,PF,1612053554
412,Dhule,20.9,74.7833,27,62.94,0,6.15,IN,1612053807
413,Kopavogur,64.1123,-21.913,63,21.2,0,11.5,IS,1612053808
414,Açucena,-19.0731,-42.5464,78,67.86,68,2.01,BR,1612053809
415,Kahului,20.8947,-156.47,57,78.8,40,18.41,US,1612053727
416,Ballina,-28.8667,153.5667,69,80.6,75,10.36,AU,1612053811
417,Canavieiras,-15.675,-38.9472,85,75.25,0,3.24,BR,1612053775
418,Tuatapere,-46.1333,167.6833,45,66.83,100,0.78,NZ,1612053600
419,Saint-Pierre,-21.3393,55.4781,65,78.8,0,8.05,RE,1612053816
420,Keflavik,64.0049,-22.5624,73,21.2,0,6.91,IS,1612053818
421,Nioro,13.35,-15.75,16,75.81,100,7.61,GM,1612053819
422,Okhotsk,59.3833,143.3,80,-9.35,0,17.94,RU,1612053821
423,Pisco,-13.7,-76.2167,68,73.4,0,17.27,PE,1612053822
424,Khani,41.9563,42.9566,75,41.0,0,8.05,GE,1612053823
425,Malmo,55.6059,13.0007,93,33.01,90,8.05,SE,1612053824
426,Winston,28.0317,-82.0148,55,66.0,1,5.75,US,1612053825
427,Lompoc,34.6391,-120.4579,67,55.99,1,12.66,US,1612053826
428,Constitución,-35.3333,-72.4167,93,59.59,34,8.46,CL,1612053828
429,Sivaki,52.6333,126.75,84,-28.3,72,1.81,RU,1612053829
430,Øksfjord,70.2396,22.3479,92,26.6,0,3.44,NO,1612053830
431,Plouzané,48.3833,-4.6167,100,50.0,90,12.66,FR,1612053831
432,Rocha,-34.4833,-54.3333,91,65.75,100,18.12,UY,1612053833
433,Vakhtan,57.9659,46.6889,97,18.84,100,8.46,RU,1612053834
434,Camacha,33.0833,-16.3333,94,57.2,20,3.44,PT,1612053835
435,Turka,49.1541,23.0297,96,24.01,100,3.0,UA,1612053836
436,Fresno,36.6666,-119.8343,39,60.8,40,1.43,US,1612053837
437,Acaraú,-2.8856,-40.12,82,79.12,100,11.25,BR,1612053838
438,Juwana,-6.715,111.1514,81,81.28,100,7.58,ID,1612053840
439,Uyuni,-20.4597,-66.825,32,56.79,0,6.02,BO,1612053841
440,Ahipara,-35.1667,173.1667,49,72.28,0,5.99,NZ,1612053843
441,Severomuysk,56.1481,113.4267,81,-32.57,88,5.57,RU,1612053845
442,Brumadinho,-20.1433,-44.1997,50,78.8,0,10.36,BR,1612053846
443,Sanary-sur-Mer,43.1178,5.8001,78,48.99,71,11.01,FR,1612053847
444,Namatanai,-3.6667,152.4333,67,84.52,100,13.22,PG,1612053835
445,Bubaque,11.2833,-15.8333,62,79.34,97,12.12,GW,1612053849
446,Vanimo,-2.6741,141.3028,66,85.28,100,8.32,PG,1612053851
447,Russell,32.3502,-85.1999,62,53.6,40,5.75,US,1612053852
448,Imbituba,-28.24,-48.6703,89,78.8,0,5.75,BR,1612053853
449,Ust-Maya,60.4167,134.5333,80,-36.15,100,1.25,RU,1612053854
450,Lagunas,-5.2269,-75.6753,78,77.25,87,1.57,PE,1612053855
451,Wewak,-3.5534,143.6268,77,84.13,94,11.72,PG,1612053856
452,Ormstown,45.1334,-73.9992,84,5.0,54,2.3,CA,1612053857
453,Kupino,54.3663,77.2981,94,3.09,100,9.91,RU,1612053858
454,Belen,36.4891,36.2233,100,44.6,75,26.46,TR,1612053859
455,Upata,8.0086,-62.3989,96,75.0,0,1.01,VE,1612053860
456,Omboué,-1.5746,9.2618,90,75.0,100,3.53,GA,1612053861
457,Kaeo,-35.1,173.7833,60,72.0,0,5.01,NZ,1612053863
458,Harda,22.3333,77.1,39,49.35,0,6.38,IN,1612053864
459,San Miguel,13.4833,-88.1833,44,79.36,82,2.84,SV,1612053865
460,Sorada,19.75,84.4333,66,62.44,0,2.1,IN,1612053866
461,Atar,20.5169,-13.0499,23,66.67,0,7.99,MR,1612053867
462,Kano,12.0001,8.5167,22,68.11,0,8.19,NG,1612053868
463,Vite,17.2833,74.55,52,67.86,12,12.26,IN,1612053869
464,Naryan-Mar,67.6713,53.087,92,1.17,100,11.12,RU,1612053871
465,Mount Gambier,-37.8333,140.7667,59,64.4,75,8.05,AU,1612053872
466,Mizhou,35.9947,119.3975,65,41.58,0,5.82,CN,1612053874
467,Nome,64.5011,-165.4064,71,-7.6,1,6.91,US,1612053875
468,Monrovia,6.3005,-10.7969,94,75.2,40,7.99,LR,1612053876
469,Ewo,-0.8725,14.8206,87,71.38,100,3.44,CG,1612053877
470,Bafra,41.5678,35.9069,57,50.0,75,4.61,TR,1612053878
471,Antalaha,-14.9003,50.2788,88,75.49,0,4.54,MG,1612053879
472,Poya,-21.35,165.15,54,83.64,30,6.91,NC,1612053880
473,Santa Cruz de la Sierra,-17.8,-63.1667,79,76.69,100,14.85,BO,1612053758
474,Itamarandiba,-17.8572,-42.8589,80,64.38,0,3.71,BR,1612053882
475,Verāval,20.9,70.3667,29,64.69,0,11.97,IN,1612053883
476,Thinadhoo,0.5333,72.9333,77,81.72,3,11.39,MV,1612053795
477,Takoradze,4.8845,-1.7554,89,78.98,100,6.04,GH,1612053885
478,San Luis,-33.295,-66.3356,68,63.46,0,17.78,AR,1612053887
479,Fujin,47.26,132.0322,86,-13.18,0,6.91,CN,1612053888
480,Srednekolymsk,67.45,153.6833,84,-32.04,100,3.31,RU,1612053889
481,Sitka,57.0531,-135.33,52,41.0,75,4.61,US,1612053890
482,Los Llanos de Aridane,28.6585,-17.9182,72,64.4,90,11.5,ES,1612053891
483,Kaabong,3.4836,34.1492,41,67.8,4,10.71,UG,1612053892
484,Chara,56.9064,118.2631,80,-27.83,100,1.23,RU,1612053893
485,Manokwari,-0.8667,134.0833,81,80.28,100,14.18,ID,1612053662
486,Midland,31.9974,-102.0779,16,62.6,1,9.22,US,1612053895
487,Leshukonskoye,64.8989,45.7622,97,17.65,100,5.61,RU,1612053857
488,Grand-Santi,4.25,-54.3833,97,73.89,97,3.11,GF,1612053898
489,Uetze,52.4651,10.2047,93,25.0,3,1.14,DE,1612053899
490,Kajaani,64.2273,27.7285,93,19.4,40,3.44,FI,1612053900
491,Mitsamiouli,-11.3847,43.2844,78,81.79,92,10.51,KM,1612053901
492,Alice Town,25.7167,-79.3,67,68.79,35,17.43,BS,1612053902
493,Mareeba,-17.0,145.4333,62,91.0,40,11.5,AU,1612053825
494,Rāvar,31.2656,56.8055,48,50.56,0,8.03,IR,1612053904
495,Port Hardy,50.6996,-127.4199,81,46.4,90,23.02,CA,1612053739
496,Kiryat Gat,31.61,34.7642,58,55.0,0,1.01,IL,1612053669
497,Zhangjiakou,40.81,114.8794,83,23.02,0,1.34,CN,1612053910
498,Daru,-9.0763,143.2092,78,80.53,100,14.34,PG,1612053911
499,Bonthe,7.5264,-12.505,85,77.83,54,5.48,SL,1612053912
500,Dali,25.7,100.1833,78,43.12,1,4.52,CN,1612053914
501,Nzérékoré,7.7562,-8.8179,87,69.13,0,1.77,GN,1612053915
502,Vestmannaeyjar,63.4427,-20.2734,94,31.35,100,9.4,IS,1612053674
503,Le Vauclin,14.5452,-60.8388,83,77.0,75,8.05,MQ,1612053918
504,Grants,35.1473,-107.8514,48,35.6,1,9.22,US,1612053920
505,Mugur-Aksy,50.35,90.5,74,-0.2,0,8.34,RU,1612053921
506,Warkworth,-36.4,174.6667,42,75.0,0,3.0,NZ,1612053922
507,Dzilam González,21.2833,-88.9333,69,71.73,100,5.44,MX,1612053923
508,Winchester,51.0651,-1.3187,81,39.2,90,13.8,GB,1612053662
509,Nova Prata,-28.7839,-51.61,99,71.01,61,3.06,BR,1612053925
510,Kaa-Khem,51.6833,94.7333,76,-9.15,0,4.54,RU,1612053926
511,Gigmoto,13.7796,124.39,77,77.83,100,17.94,PH,1612053928
512,Turkmenabat,39.0733,63.5786,46,46.4,100,4.61,TM,1612053930
513,Praia,14.9215,-23.5087,64,71.6,0,17.27,CV,1612053932
514,Río Gallegos,-51.6226,-69.2181,34,62.6,0,16.11,AR,1612053733
515,Yerbogachën,61.2767,108.0108,82,-36.62,83,5.46,RU,1612053934
516,Allāpalli,19.4167,80.0667,42,61.14,29,1.41,IN,1612053935
517,San Juan,-31.5375,-68.5364,42,74.19,85,13.18,AR,1612053689
518,Buala,-8.145,159.5921,71,85.59,100,15.93,SB,1612053938
519,Wildomar,33.5989,-117.28,38,59.0,1,3.44,US,1612053850
520,Colares,38.7992,-9.4469,82,59.0,99,15.35,PT,1612053940
521,Lázaro Cárdenas,17.9583,-102.2,78,77.59,0,3.6,MX,1612053941
522,Pangnirtung,66.1451,-65.7125,74,-8.93,23,2.57,CA,1612053716
523,Tevriz,57.509,72.4042,94,5.05,100,10.02,RU,1612053943
524,Fes,34.0372,-4.9998,100,53.6,75,9.22,MA,1612053904
525,Khalkhāl,37.6189,48.5258,93,18.54,30,9.26,IR,1612053945
526,Zhuanghe,39.7008,122.9911,93,22.6,100,15.64,CN,1612053946
527,Liepāja,56.5419,21.0367,74,30.2,90,9.22,LV,1612053919
528,Mnogovershinnyy,53.9353,139.9242,88,-8.16,100,5.44,RU,1612053948
529,Anamur,36.0751,32.8369,100,50.0,40,4.61,TR,1612053950
530,Sijunjung,-0.6876,100.9537,85,74.61,96,0.69,ID,1612053951
531,Union,40.6334,-74.2663,37,28.99,1,5.75,US,1612053801
532,Yabēlo,4.8833,38.0833,39,55.56,7,9.31,ET,1612053953
533,Pahrump,36.2083,-115.9839,40,54.0,0,1.43,US,1612053920
534,Makkah al Mukarramah,21.4267,39.8261,42,65.98,0,5.23,SA,1612053668
